20230513093100 0.00
20230728103800 0.00
20230926140000 0.00
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T532/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 532|*|
#SANRT532|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T672/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 672|*|
#SANRT672|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20230415084600 37.20
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T770/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 770|*|
#SANRT770|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221020110000 17.65
20230118092000 17.30
20230423145600 15.78
20230729112200 14.34
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T787/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMET.H. 787|*|
#SANRT787|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221020080200 0.00
20230123142200 0.00
20230423120900 0.00
20230728083300 0.00
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/T870/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMET.H. 870(DIVISION CK ALLUVIAL FAN WELL)|*|SANRT870|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221024100500 260.25
20221128113700 260.52
20221219124900 260.79
20230126125100 261.06
20230216131200 261.10
20230327110900 261.19
20230424164900 260.91
20230514155800 260.89
20230824162100 258.82
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V328/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEOBS WELL 328(OLD KEARSARGE STATION WELL)|*|SANRV328|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221020104800 20.20
20230118091300 20.05
20230423144900 19.21
20230729111500 16.52
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/V362/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|SNAMEOBS WELL 362|*|
#SANRV362|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20221019121800 34.19
20221128145600 34.51
20221219102900 34.77
20230123134200 33.25
20230216094200 32.81
20230327134700 32.03
20230423164800 31.51
20230514174900 31.17
20230817162600 23.38
#ZRXPVERSION2209.265|*|ZRXPMODEStandard|*|ZRXPCREATORZRXP-Fileexport|*|TZUTC-8|*|
#TSPATH/0a/W382/TAPE/Tape.Obs.Read|*|CUNITft|*|RINVAL-777|*|
#SNAMEWELL 382(THIBAUT E&M WELL #382)|*|SANRW382|*|CNAMETape|*|
#LAYOUT(timestamp,value,remark)|*|
20230905152800 0.00
